app_download_nums,app_editor_review,app_intro,app_name,app_review_nums,app_reviews,app_score,app_size
下载：74万次,智能盯盘轻松锁定牛股,,海豚股票,62,,9.5,21.45M
下载：274万次,为客户提供专业移动金融服务,,民生银行,66,,6.8,119.23M
下载：815万次,简单投资  安心生活,,360你财富,1401,,7.6,45.60M
下载：95万次,信用分期消费金融平台,,捷信金融,4261,,9.4,97.78M
下载：52万次,网上保险买众安5亿用户选择,,众安保险,1484,,9.5,87.31M
下载：984万次,美国纽交所上市,,宜人优选,1812,,9.6,115.19M
下载：298万次,转账更安全,,兴业银行,1720,,9.1,167.85M
下载：658万次,中国人寿在线客户服务系统。,,中国人寿寿险,131,,5.7,155.10M
下载：1548万次,炒股股票开户、基金理财平台,,广发易淘金,3997,,9.8,160.46M
下载：8770万次,理财 投资 炒股 开户,,大智慧,41605,,6.1,117.32M
下载：614万次,交通银行信用卡官方APP,,买单吧,364,,4.3,98.23M
下载：3179万次,股票开户证券炒股投资必备,,东方财富股票,10030,,9.0,108.19M
下载：1513万次,中信银行为您提供优质的服务,,中信银行,505,,5.1,235.24M
下载：717万次,综合证券开户投资理财,,国信金太阳,18251,,9.9,116.45M
下载：1102万次,专业服务13年,,拍拍贷借款,25253,,8.1,37.44M
下载：1092万次,专业的股票基金理财平台,,国泰君安君弘,4726,,9.8,93.78M
下载：480万次,信用卡与理财投资金融管家,,平安口袋银行,3029,,9.1,145.04M
下载：405万次,港股财经资讯，海外投资服务,,格隆汇,2043,,9.9,144.84M
下载：801万次,现金贷款，速度快，额度高,,360借条,3401,,8.4,36.99M
下载：379万次,中信动卡空间，金融理财神奇,,动卡空间,554,,8.5,73.25M
下载：949万次,借款额度高至5万元,,你我贷借款,4228,,8.9,42.87M
app_download_nums,app_editor_review,app_intro,app_name,app_review_nums,app_reviews,app_score,app_size
下载：405万次,港股财经资讯，海外投资服务,,格隆汇,2043,,9.9,144.84M
下载：801万次,现金贷款，速度快，额度高,,360借条,3401,,8.4,36.99M
下载：379万次,中信动卡空间，金融理财神奇,,动卡空间,554,,8.5,73.25M
下载：949万次,借款额度高至5万元,,你我贷借款,4228,,8.9,42.87M
下载：2820万次,10分钟轻松借款10万,,宜人贷借款,23078,,9.1,46.07M
下载：11642万次,赢在东北方,,东北证券融e通,2711,,9.9,108.29M
下载：112万次,中国移动官方积分兑换应用,,和包,249,,9.3,121.52M
下载：756万次,一站式银行理财产品比价软件,,比财,2111,,9.9,55.03M
下载：1650万次,一键管理信用卡，快捷省心,,51信用卡管家,20575,,9.5,44.37M
下载：1386万次,股票基金理财综合交易软件,,中信证券,100,,8.0,109.81M
下载：199万次,股民炒股票金融投资咨询分析,,股掌柜,2543,,9.9,54.78M
下载：3797万次,一亿人的财富生活,,招商银行,951,,5.5,86.10M
下载：3611万次,优惠便捷安全的移动支付平台,,翼支付,11747,,9.6,127.52M
下载：477万次,凭信用卡轻松借20万,,小赢卡贷,1314,,9.1,41.75M
下载：476万次,使用方便、简便易用,,广发银行,210,,4.4,137.77M
下载：9082万次,同花顺炒股票，稳定流畅安全,,同花顺炒股票,20687,,9.5,202.02M
下载：74万次,买保险就上平安健康保险,,平安健康保险,1653,,9.9,87.22M
下载：95万次,一站投资港股美股A股,,华盛通,728,,9.9,115.92M
下载：4145万次,中国银行手机银行,,中国银行,1818,,4.1,113.00M
下载：782万次,支付先看云闪付,,云闪付,5033,,9.3,75.06M
下载：2512万次,智能记账软件，家庭财务管理,,挖财记账,21276,,9.3,36.25M
下载：1601万次,低息小额快速借钱借贷app,,省呗,19541,,9.7,91.29M
下载：2440万次,工行打造的移动金融服务平台,,工银融e联,951,,3.2,144.43M
下载：13674万次,一部手机尽享建行服务,,中国建设银行,4787,,4.5,231.93M
下载：6962万次,记账就要随手记,,随手记,55743,,9.8,71.72M
下载：7417万次,安卓用户专属的工行手机银行,,中国工商银行,4478,,3.4,153.79M
下载：4858万次,注册即送1500美金红包！,,鑫圣金业,11271,,9.9,30.03M
下载：2936万次,一个懂金融的朋友,,京东金融,2684,,8.2,108.67M
下载：536万次,新户领288美金加现金红包,,钜丰贵金属,2309,,9.9,29.43M
下载：26175万次,东方证券旗下正规期货软件,,东方证券期货,3826,,9.9,109.15M
下载：74144万次,注册送多达88元新人见面礼,,支付宝,26263,,6.3,104.77M
下载：75608万次,大专及以上学历下款快,,平安普惠陆慧融,54989,,9.8,66.03M
下载：74万次,智能盯盘轻松锁定牛股,,海豚股票,62,,9.5,21.45M
下载：274万次,为客户提供专业移动金融服务,,民生银行,66,,6.8,119.23M
下载：52万次,网上保险买众安5亿用户选择,,众安保险,1484,,9.5,87.31M
下载：815万次,简单投资  安心生活,,360你财富,1401,,7.6,45.60M
下载：95万次,信用分期消费金融平台,,捷信金融,4261,,9.4,97.78M
下载：298万次,转账更安全,,兴业银行,1720,,9.1,167.85M
下载：984万次,美国纽交所上市,,宜人优选,1812,,9.6,115.19M
下载：658万次,中国人寿在线客户服务系统。,,中国人寿寿险,131,,5.7,155.10M
下载：1548万次,炒股股票开户、基金理财平台,,广发易淘金,3997,,9.8,160.46M
下载：614万次,交通银行信用卡官方APP,,买单吧,364,,4.3,98.23M
下载：8770万次,理财 投资 炒股 开户,,大智慧,41605,,6.1,117.32M
下载：3179万次,股票开户证券炒股投资必备,,东方财富股票,10030,,9.0,108.19M
下载：1513万次,中信银行为您提供优质的服务,,中信银行,505,,5.1,235.24M
下载：717万次,综合证券开户投资理财,,国信金太阳,18251,,9.9,116.45M
下载：1102万次,专业服务13年,,拍拍贷借款,25253,,8.1,37.44M
下载：1092万次,专业的股票基金理财平台,,国泰君安君弘,4726,,9.8,93.78M
下载：480万次,信用卡与理财投资金融管家,,平安口袋银行,3029,,9.1,145.04M
app_download_nums,app_editor_review,app_intro,app_name,app_review_nums,app_reviews,app_score,app_size
下载：379万次,中信动卡空间，金融理财神奇,,动卡空间,554,,8.5,73.25M
下载：949万次,借款额度高至5万元,,你我贷借款,4228,,8.9,42.87M
下载：112万次,中国移动官方积分兑换应用,,和包,249,,9.3,121.52M
下载：2820万次,10分钟轻松借款10万,,宜人贷借款,23078,,9.1,46.07M
下载：11642万次,赢在东北方,,东北证券融e通,2711,,9.9,108.29M
下载：756万次,一站式银行理财产品比价软件,,比财,2111,,9.9,55.03M
下载：1650万次,一键管理信用卡，快捷省心,,51信用卡管家,20575,,9.5,44.37M
下载：199万次,股民炒股票金融投资咨询分析,,股掌柜,2543,,9.9,54.78M
下载：1386万次,股票基金理财综合交易软件,,中信证券,100,,8.0,109.81M
下载：3611万次,优惠便捷安全的移动支付平台,,翼支付,11747,,9.6,127.52M
下载：3797万次,一亿人的财富生活,,招商银行,951,,5.5,86.10M
下载：477万次,凭信用卡轻松借20万,,小赢卡贷,1314,,9.1,41.75M
下载：476万次,使用方便、简便易用,,广发银行,210,,4.4,137.77M
下载：9082万次,同花顺炒股票，稳定流畅安全,,同花顺炒股票,20687,,9.5,202.02M
下载：74万次,买保险就上平安健康保险,,平安健康保险,1653,,9.9,87.22M
下载：95万次,一站投资港股美股A股,,华盛通,728,,9.9,115.92M
下载：4145万次,中国银行手机银行,,中国银行,1818,,4.1,113.00M
下载：782万次,支付先看云闪付,,云闪付,5033,,9.3,75.06M
下载：2512万次,智能记账软件，家庭财务管理,,挖财记账,21276,,9.3,36.25M
下载：1601万次,低息小额快速借钱借贷app,,省呗,19541,,9.7,91.29M
下载：2440万次,工行打造的移动金融服务平台,,工银融e联,951,,3.2,144.43M
下载：13674万次,一部手机尽享建行服务,,中国建设银行,4787,,4.5,231.93M
下载：7417万次,安卓用户专属的工行手机银行,,中国工商银行,4478,,3.4,153.79M
下载：6962万次,记账就要随手记,,随手记,55743,,9.8,71.72M
下载：4858万次,注册即送1500美金红包！,,鑫圣金业,11271,,9.9,30.03M
下载：2936万次,一个懂金融的朋友,,京东金融,2684,,8.2,108.67M
下载：536万次,新户领288美金加现金红包,,钜丰贵金属,2309,,9.9,29.43M
下载：74144万次,注册送多达88元新人见面礼,,支付宝,26263,,6.3,104.77M
下载：26175万次,东方证券旗下正规期货软件,,东方证券期货,3826,,9.9,109.15M
下载：75608万次,大专及以上学历下款快,,平安普惠陆慧融,54989,,9.8,66.03M
下载：74万次,智能盯盘轻松锁定牛股,,海豚股票,62,,9.5,21.45M
下载：274万次,为客户提供专业移动金融服务,,民生银行,66,,6.8,119.23M
下载：815万次,简单投资  安心生活,,360你财富,1401,,7.6,45.60M
下载：52万次,网上保险买众安5亿用户选择,,众安保险,1484,,9.5,87.31M
下载：298万次,转账更安全,,兴业银行,1720,,9.1,167.85M
下载：95万次,信用分期消费金融平台,,捷信金融,4261,,9.4,97.78M
下载：984万次,美国纽交所上市,,宜人优选,1812,,9.6,115.19M
下载：658万次,中国人寿在线客户服务系统。,,中国人寿寿险,131,,5.7,155.10M
下载：1548万次,炒股股票开户、基金理财平台,,广发易淘金,3997,,9.8,160.46M
下载：614万次,交通银行信用卡官方APP,,买单吧,364,,4.3,98.23M
下载：8770万次,理财 投资 炒股 开户,,大智慧,41605,,6.1,117.32M
下载：1513万次,中信银行为您提供优质的服务,,中信银行,505,,5.1,235.24M
下载：3179万次,股票开户证券炒股投资必备,,东方财富股票,10030,,9.0,108.19M
下载：717万次,综合证券开户投资理财,,国信金太阳,18251,,9.9,116.45M
下载：1102万次,专业服务13年,,拍拍贷借款,25253,,8.1,37.44M
下载：1092万次,专业的股票基金理财平台,,国泰君安君弘,4726,,9.8,93.78M
下载：480万次,信用卡与理财投资金融管家,,平安口袋银行,3029,,9.1,145.04M
下载：405万次,港股财经资讯，海外投资服务,,格隆汇,2043,,9.9,144.84M
下载：801万次,现金贷款，速度快，额度高,,360借条,3401,,8.4,36.99M
app_download_nums,app_editor_review,app_intro,app_name,app_review,app_review_nums,app_score,app_size
下载：379万次,中信动卡空间，金融理财神奇,,动卡空间,"<span style=""word-break:break-all;"">我怎么打不开</span>",554,8.5,73.25M
下载：2820万次,10分钟轻松借款10万,,宜人贷借款,"<span style=""word-break:break-all;"">下载一个，注册后又让你下载另一个app，下好注册后贷款时，还要在下载一个app。</span>",23078,9.1,46.07M
下载：949万次,借款额度高至5万元,,你我贷借款,"<span style=""word-break:break-all;"">是个让人放心的用一个好借款平台!</span>",4228,8.9,42.87M
下载：112万次,中国移动官方积分兑换应用,,和包,"<span style=""word-break:break-all;"">嘿嘿</span>",249,9.3,121.52M
下载：11642万次,赢在东北方,,东北证券融e通,"<span style=""word-break:break-all;"">好用！炒股神器，走向我的致富道路哈哈哈哈哈</span>",2711,9.9,108.29M
下载：756万次,一站式银行理财产品比价软件,,比财,"<span style=""word-break:break-all;"">比其他的理财软件好，界面很好看的，很特别非常不错的比财理财，钱不用太多就可以往里面投资。</span>",2111,9.9,55.03M
下载：1650万次,一键管理信用卡，快捷省心,,51信用卡管家,"<span style=""word-break:break-all;"">可以带，佰分佰的在俺这里</span>",20575,9.5,44.37M
下载：1386万次,股票基金理财综合交易软件,,中信证券,"<span style=""word-break:break-all;"">为什么打不开？</span>",100,8.0,109.81M
